,0
0,0.8
1,0.4
2,0.8
3,0.4
4,0.8
5,0.4
6,0.8
7,0.8
8,0.2
9,0.4
10,0.6
11,0.6
12,0.6
13,0.4
14,0.4
15,0.4
16,0.2
17,0.6
18,0.6
19,0.6
