,0
0,1.0
1,0.5
2,1.0
3,0.75
4,0.5
5,0.5
6,0.75
7,0.5
8,0.5
9,0.5
10,1.0
11,1.0
12,0.75
13,0.75
14,0.5
15,0.5
16,0.75
17,0.75
18,0.75
19,1.0
